who_atc_lbl,cnt,term,type,estimate,std.error,statistic,p.value
J07BH Rotavirus diarrhea vaccines,12,intercept,summary,-1.086222433811373,0.20427820650402967,-5.317368173535173,1.0527890684758862e-7
J07BH Rotavirus diarrhea vaccines,12,income_cat_finlm,summary,0.35315632096784766,0.27675178955153806,1.2760760157689284,0.20192864902698712
J07AP Typhoid vaccines,7,intercept,summary,-0.8409403612488352,1.0376070298726785,-0.8104613182430196,0.4176750882536978
J07AP Typhoid vaccines,7,income_cat_finlm,summary,-1.2161288899208844,1.231070715701887,-0.9878627396538439,0.32321987579970896
J07AL Pneumococcal vaccines,9,intercept,summary,-0.6496535265827333,0.29914835772251996,-2.171676727656751,0.02988005510350474
J07AL Pneumococcal vaccines,9,income_cat_finlm,summary,0.40434805825029385,0.47975562655522047,0.8428208776906401,0.3993286297992033
J07BB Influenza vaccines,15,intercept,summary,-1.0932357335146992,0.20943870682315127,-5.2198361520529275,1.7908149306924087e-7
J07BB Influenza vaccines,15,income_cat_finlm,summary,0.4816726472875589,0.34176790639118154,1.4093559935854387,0.15872992954450832
